pmid,arm_id,arm_type,sensation,value,instrument
40995472,arm_male,verum_acupuncture,soreness,3.96 ± 1.485,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,heaviness,2.667 ± 1.065,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,heaviness,4.52 ± 1.896,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,fullness,5.238 ± 1.411,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,fullness,4.88 ± 1.833,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,warmth,2.143 ± 1.558,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,warmth,2.56 ± 1.781,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,numbness,4.905 ± 1.895,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,numbness,2.4 ± 1.472,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,tingling,4.81 ± 1.601,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,tingling,2.44 ± 1.805,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,pain,3.429 ± 1.989,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,pain,2.76 ± 1.562,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,soreness,3.381 ± 1.884,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,soreness,1.44 ± 1.158,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_female,verum_acupuncture,sharp_pain,4 ± 1.643,Massachusetts Acupuncture Sensation Scale (MASS)
40995472,arm_male,verum_acupuncture,sharp_pain,1.84 ± 1.248,Massachusetts Acupuncture Sensation Scale (MASS)
41022570,arm_01,verum_acupuncture,"De Qi sensation described as sourness, numbness, distention, and pain","Light to moderate stimulation to produce De Qi (sourness, numbness, distention, and pain), which is considered an effective acupuncture response",not_reported
41069516,arm_BP,verum_acupuncture,"soreness, numbness, distension, heaviness (patient-reported); tight, rough sensation under needle (acupuncturist-perceived)",Deqi was achieved (required for needle retention to proceed); specific quantitative values not reported,not_reported; Deqi defined by study criteria
41310834,arm_acupuncture,verum_acupuncture,"pain, heaviness, numbness, swelling, or radiation","The 'Deqi' sensation, a clinical marker of effective acupuncture characterized by sensations of pain, heaviness, numbness, swelling, or radiation, was induced through needle manipulation techniques such as lifting, thrusting, twirling, and rotating.",not_reported
41351443,AG,verum_acupuncture,"de-qi: soreness, numbness, heaviness","required to achieve de-qi (feeling of soreness, numbness, heaviness)",not_reported
41520025,arm_EA,verum_acupuncture,pain,pre = 3.79,Multimodal Ascending Sensory Test (MAST) system; Numerical Rating Scale (NRS) 0-100
41520025,arm_EA,verum_acupuncture,pain,post = 3.66,Multimodal Ascending Sensory Test (MAST) system; Numerical Rating Scale (NRS) 0-100
41520025,arm_ML,sham_acupuncture,pain,pre = 3.50,Multimodal Ascending Sensory Test (MAST) system; Numerical Rating Scale (NRS) 0-100
41520025,arm_ML,sham_acupuncture,pain,post = 3.26,Multimodal Ascending Sensory Test (MAST) system; Numerical Rating Scale (NRS) 0-100
41591775,arm_real_acu,verum_acupuncture,"deqi sensation (distention, numbness, soreness, or radiating sensations)","deqi was intended and elicited through twirling, lifting, and thrusting",not_reported
41591775,arm_sham_acu,sham_acupuncture,deqi omitted,Manipulation matched real acupuncture but omitted deqi,not_reported
41602988,arm_BP_acupuncture,verum_acupuncture,"deqi sensation (numbness, distention, or heaviness) at bilateral LI4","sensation typically described by patients as numbness, distention, or heaviness",not_reported
41657421,arm_study,verum_acupuncture,"deqi sensation (dull ache, numbness, or tingling)","mild but noticeable deqi sensation (a characteristic sensation of acupuncture, often described as a dull ache, numbness, or tingling) in the patients without causing any discomfort or pain",not_reported
41834818,arm_tx,verum_acupuncture,deqi at scalp acupoints,deqi was achieved before connecting to device (for scalp/head acupoints),not_reported
41999225,AG,verum_acupuncture,Deqi sensation,needle manipulation for Deqi sensation induction required; standardized procedures performed,not_reported
42131703,VA,verum_acupuncture,deqi sensation (characteristic needling sensation),"deqi sensation elicited by rotational manipulation (180° amplitude, 2 Hz frequency) for 1 min",not_reported
42131703,SA,sham_acupuncture,deqi sensation,no manipulation was performed to elicit the deqi sensation,not_reported
