pmid,arm_id,arm_label,arm_type,n_assigned,n_analyzed_neuroimaging,disease_condition,acupuncture_modality,stimulation_type,acupoints_used,anatomical_location,laterality,penetration,depth,depth_mm,manipulation,needle_type,needle_size,electrical_stim,electrical_frequency,electrical_intensity,needle_retention,needle_retention_min,session_duration,session_duration_min,n_sessions,n_sessions_numeric,treatment_period,deqi_intended,participant_instructions,treatment_rationale,practitioner_description,blinding,study_design
35832324,arm_nonacupoint,group of acupuncture at non-acupoint,sham_acupuncture,12,12.0,anxiety disorders (ICD-10/F41),sham_needling,manual acupuncture at non-acupoint,[],2-cm to the left of Neiguan point,not_reported,not_reported,not_reported,,not_reported,not_reported,40 mm × 0.40 mm,False,not_applicable,not_applicable,retained for 15 minutes,15.0,not_reported,,single session,1.0,single session,not_reported,not_reported,not_reported,acupuncturist who has been practicing for at least 10 years,single-blind; both groups did not know their grouping until the needling was performed,"randomized, single-blind design"
35959405,arm_01,"Healthy subjects with regular sleep (within-subject, all conditions)",verum_acupuncture,30,30.0,Acute sleep deprivation (24 h total SD),manual_acupuncture,manual_acupuncture,"['HT7 (Shenmen), bilateral']",located on the palmar ulnar end of the transverse crease of the wrist and on the radial aspect of the tendon of the ulnar flexor,bilateral,vertically into bilateral HT7s,20-30 mm,25.0,rotating the needle clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 60 s,"sterile, single-use silver needles",0.5 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,not_reported,,60-s acupuncture manipulation followed by 490-s resting-state scan,1.0,1 (single session),1.0,Single session on day 2 after 24 h SD,not_reported,not_reported,HT7 (Shenmen) is one of the most frequently used acupoints in improving sleep quality and cognitive impairments; recent clinical studies have revealed that acupuncture at HT7 had a beneficial effect on sleep disorders among Chinese people,the same two licensed and skilled acupuncturists,not_reported,Within-subject repeated measures; all subjects underwent resting-state fMRI during rested wakefulness (RW) state and after 24 h of total sleep deprivation; the scan after 24 h of total SD included two resting-state fMRI sessions before and after needling at Shenmen (HT7)
35965072,arm_FD_acupuncture,FD patients receiving acupuncture treatment,verum_acupuncture,100,89.0,Functional dyspepsia (FD),manual_acupuncture,manual acupuncture,"['Zhongwan (CV 12)', 'Weishu (BL 21)', 'Zusanli (ST 36)']",not_reported,not_reported,not_reported,not_reported,,details in Supplementary 1,not_reported,not_reported,False,not_applicable,not_applicable,not_reported,,not_reported,,20 sessions,20.0,"four weeks (once per day for 5 days continuously each week, with 2 days intervals to the next week)",not_reported,not_reported,not_reported,not_reported,not_reported,Prediction analysis based on data from two randomized controlled trials; machine learning study using pre-treatment functional brain network features
35965072,arm_responders,Acupuncture responders,verum_acupuncture,,39.0,Functional dyspepsia (FD),,,[],,,,,,,,,,,,,,,,,,,,,,,not_reported,Prediction analysis based on data from two randomized controlled trials; machine learning study using pre-treatment functional brain network features
35965072,arm_non_responders,Acupuncture non-responders,verum_acupuncture,,26.0,Functional dyspepsia (FD),,,[],,,,,,,,,,,,,,,,,,,,,,,not_reported,Prediction analysis based on data from two randomized controlled trials; machine learning study using pre-treatment functional brain network features
35968386,arm_WT,WT,healthy_control,10,10.0,Alzheimer's disease (3×Tg-AD transgenic mouse model),other,none,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,fixed in the same way for 30 min,30.0,"5 consecutive days weekly, 4 weeks",20.0,4 weeks,not_applicable,not_reported,not_applicable,not_reported,Data analysis was performed by an experimenter blind to group information,"Randomized controlled animal study using 3×Tg-AD transgenic mice and age-matched wildtype controls; four groups: EA-treated, Non-acupoint EA-treated, untreated 3×Tg-AD, wildtype control"
35968386,arm_3xTgAD,3×Tg AD,other,10,10.0,Alzheimer's disease (3×Tg-AD transgenic mouse model),other,none,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,fixed in the same way for 30 min,30.0,"5 consecutive days weekly, 4 weeks",20.0,4 weeks,not_applicable,not_reported,not_applicable,not_reported,Data analysis was performed by an experimenter blind to group information,"Randomized controlled animal study using 3×Tg-AD transgenic mice and age-matched wildtype controls; four groups: EA-treated, Non-acupoint EA-treated, untreated 3×Tg-AD, wildtype control"
35968386,arm_EA,EA,verum_acupuncture,10,10.0,Alzheimer's disease (3×Tg-AD transgenic mouse model),electroacupuncture,electroacupuncture,"['DU20 (Baihui)', 'DU24 (Shenting)']","DU20: midline of the head, approximately midway on the line connecting the apices of the auricles; DU24: 2 mm directly above the midpoint of the mouse's eyes",midline,inserted approximately 2–3 mm depth in each site,2–3 mm,,disperse-dense-mode stimulation,stainless steel acupuncture needle,0.25 × 13 mm,True,1/20 Hz,1 mA,30 min,30.0,30 min daily,30.0,"5 consecutive days weekly, 4 weeks",20.0,4 weeks,not_reported,"Before stimulation was initiated, the torso of the mice was fixed to restrict excessive mobility","According to the TCM theory, EA at DU20 and DU24 could enhance brain function and improve cognitive function",not_reported,Data analysis was performed by an experimenter blind to group information,"Randomized controlled animal study using 3×Tg-AD transgenic mice and age-matched wildtype controls; four groups: EA-treated, Non-acupoint EA-treated, untreated 3×Tg-AD, wildtype control"
35968386,arm_NonEA,Non-EA,sham_acupuncture,10,10.0,Alzheimer's disease (3×Tg-AD transgenic mouse model),sham_needling,electroacupuncture at non-acupoints,[],"bilateral non-acupoints located at the bilateral hypochondrium, 2 cm above the posterior superior iliac spine and 3 cm lateral to the spine",bilateral,inserted approximately 2–3 mm depth in each site,2–3 mm,,disperse-dense-mode stimulation,0.25 × 13 mm stainless steel acupuncture needle,0.25 × 13 mm,True,not_reported,not_reported,30 min,30.0,30 min daily,30.0,"5 consecutive days weekly, 4 weeks",20.0,4 weeks,not_reported,"Before stimulation was initiated, the torso of the mice was fixed to restrict excessive mobility","EA stimulation was applied at non-acupoints for acupoint control, which were chosen to avoid the DU meridian and nearby acupoints",not_reported,Data analysis was performed by an experimenter blind to group information,"Randomized controlled animal study using 3×Tg-AD transgenic mice and age-matched wildtype controls; four groups: EA-treated, Non-acupoint EA-treated, untreated 3×Tg-AD, wildtype control"
36051643,VA,verum acupuncture group,verum_acupuncture,22,20.0,Primary dysmenorrhea (PDM),manual_acupuncture,manual acupuncture,['bilateral SP6'],bilateral SP6 (Sanyinjiao),bilateral,"subcutaneous, 5–15 mm",5–15 mm subcutaneously,,gently manipulating to obtain deqi sensation,not_reported,not_reported,False,not_applicable,not_applicable,"30 min, needles retained without any manipulation",30.0,30 min,30.0,"once a day, three menstrual cycles, beginning 5–7 days before menstruation and ending until the onset of menstruation",,three menstrual cycles,"required to obtain deqi sensation (a complex phenomenon including soreness, numbness, heaviness, swelling, or dull pain achieved by pricking the needle 5–15 mm subcutaneously and gently manipulating)",not_reported,bilateral SP6 were known to alleviate PDM well,qualified practitioners who had undergone extensive clinical and operational training,not_reported,"Two-arm, randomized rs-fMRI clinical trial"
36051643,SA,sham acupuncture group,sham_acupuncture,19,14.0,Primary dysmenorrhea (PDM),sham_needling,sham acupuncture,[],bilaterally at the midpoint between SP6 and the Bladder meridian,bilateral,not_reported,not_reported,,not_reported,not_reported,not_reported,False,not_applicable,not_applicable,"30 min, needles retained without any manipulation",30.0,30 min,30.0,"once a day, three menstrual cycles, beginning 5–7 days before menstruation and ending until the onset of menstruation",,three menstrual cycles,not_reported,not_reported,SA acupoints were located bilaterally at the midpoint between SP6 and the Bladder meridian without known clinical effects,qualified practitioners who had undergone extensive clinical and operational training,not_reported,"Two-arm, randomized rs-fMRI clinical trial"
36102803,arm_exp,Experimental Group,verum_acupuncture,16,16.0,myofascial pain syndrome (MPS) / myofasciitis,electroacupuncture,transcutaneous electrical nerve stimulation (TENS) combined with wrist-ankle acupuncture,"[""upper 5th area of the participant's left wrist (located in the middle of the palm surface between the two most prominent palmar longus tendons and the flexor carpi radialis tendons)""]",upper 5th area above the participant's left wrist,left wrist,not_reported,not_reported,,2 Hz and 100 Hz pulses are sequentially output every 1 minute,not_reported,not_reported,True,2 Hz and 100 Hz pulses sequentially output every 1 minute,0-100V; participants adjust until they can withstand the maximum intensity without feeling pain,removed after about 5 minutes,5.0,300 seconds (about 5 minutes),5.0,1,1.0,single session during the experiment,not_reported,participants adjust the parameter settings through the intelligent terminal until they can withstand the maximum intensity without feeling pain,determined by the mechanism of wrist-ankle acupuncture acupoints and meridians; applies electrical pulses to specific parts of the wrist or ankle to treat pain throughout the body,Chinese medicine expert stood on the left side of the participant,double-blind; both researchers and participants were blinded,"double-blind, randomized, controlled clinical trial"
36102803,arm_ctrl,Control Group,waitlist,15,15.0,myofascial pain syndrome (MPS) / myofasciitis,other,no stimulation; rest only,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,300 seconds,5.0,1,1.0,single experimental session,not_applicable,not_reported,not_applicable,not_applicable,double-blind; both researchers and participants were blinded,"double-blind, randomized, controlled clinical trial"
36530615,arm_PSA,patients with PSA,other,19,16.0,Post-stroke aphasia (PSA) caused by left hemisphere stroke,electroacupuncture,electroacupuncture,"['Tongli (HT5)', 'Xuanzhong (GB39)']","HT5: radially to the flexor carpi ulnaris tendon on the anteromedial side of the forearm, 33 mm proximal to the palmar wrist crease. GB39: 100 mm above the external malleolus tip, on the anterior fibula border.",both sides (bilateral),not_reported,HT5: 10 to 30 mm; GB39: 33 mm,,EA technique; Han's acupoint nerve stimulator (model LH202H),sterile silver acupuncture needles,0.40 × 40-mm,True,2 Hz,2 mA,not_reported,,6 min total scan (12 blocks of 30 s each),6.0,1 session (single scan),1.0,single session during fMRI acquisition,"All participants reported their experience ('Deqi') with acupuncture stimulation. Deqi featured aching, pressure, heaviness, fullness, and numbness among other feelings.",not_reported,Tongli (HT5) and Xuanzhong (GB39) are important language-implicated acupoints used in Chinese medicine. They are commonly used in PSA rehabilitation therapy because they are tailored to language-processing systems.,A professional acupuncturist performed acupuncture.,not_reported,Task-based fMRI study with block design; two-group (PSA patients vs. healthy controls) within-subject comparison of EA stimulation vs. rest at baseline
36530615,arm_HC,healthy controls (HCs),healthy_control,16,16.0,Post-stroke aphasia (PSA) caused by left hemisphere stroke,electroacupuncture,electroacupuncture,"['Tongli (HT5)', 'Xuanzhong (GB39)']","HT5: radially to the flexor carpi ulnaris tendon on the anteromedial side of the forearm, 33 mm proximal to the palmar wrist crease. GB39: 100 mm above the external malleolus tip, on the anterior fibula border.",both sides (bilateral),not_reported,HT5: 10 to 30 mm; GB39: 33 mm,,EA technique; Han's acupoint nerve stimulator (model LH202H),sterile silver acupuncture needles,0.40 × 40-mm,True,2 Hz,2 mA,not_reported,,6 min total scan (12 blocks of 30 s each),6.0,1 session (single scan),1.0,single session during fMRI acquisition,"All participants reported their experience ('Deqi') with acupuncture stimulation. Deqi featured aching, pressure, heaviness, fullness, and numbness among other feelings.",not_reported,Tongli (HT5) and Xuanzhong (GB39) are important language-implicated acupoints used in Chinese medicine.,A professional acupuncturist performed acupuncture.,not_reported,Task-based fMRI study with block design; two-group (PSA patients vs. healthy controls) within-subject comparison of EA stimulation vs. rest at baseline
36530635,arm_tinnitus,patients with subjective tinnitus,verum_acupuncture,26,26.0,subjective tinnitus,manual_acupuncture,manual acupuncture with deqi manipulation,"['SI19', 'TE17', 'GB12', 'GB8', 'TE3', 'TE5', 'GV20', 'GV26', 'GV15']","acupoints on the affected side of tinnitus (SI19, TE17, GB12, GB8), distal bilateral acupoints (TE3, TE5) and the Governor Vessel acupoints (GV20, GV26, GV15)","affected side for SI19, TE17, GB12, GB8; bilateral for TE3, TE5; midline for GV20, GV26, GV15",not_reported,1.5–3 cm,,"the acupuncturist manipulated the needle for obtaining the deqi sensation (acid, numbness, swelling and pain); SI19 was needle-inserted into with the mouth open",sterile and disposable needles,"length 40 mm, width 0.35 mm",False,not_applicable,not_applicable,30 min,30.0,30 min needle retention,30.0,10 times,10.0,once every other day,"yes; deqi sensation (acid, numbness, swelling and pain)",not_reported,"acupoints on the affected side of tinnitus, distal bilateral acupoints and the Governor Vessel acupoints were selected","Professor Yang Jun, the National Famous Doctor of Traditional Chinese Medicine, an honorary title for TCM expert in China",not_reported,case-control study
36530635,arm_HC,healthy controls (HC),healthy_control,26,26.0,subjective tinnitus,,,[],,,,,,,,,,,,,,,,,,,,,,,not_reported,case-control study
36744205,arm_patients,Numbness Patients,verum_acupuncture,24,23.0,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),manual_acupuncture,manual acupuncture,"['Baihui (GV20)', 'Sishencong (EX-HN1)', 'Shuigou (GV26)', 'Quchi (LI11) (affected side)', 'Zusanli (ST36) (affected side)']",GV20: median line of head; EX-HN1: located around GV20; GV26: upper part of philtrum; LI11: lateral side of elbow striae (affected side); ST36: lateral shinbone (affected side),"LI11 and ST36 on affected side; GV20, EX-HN1, GV26 midline",penetrating,GV20 and EX-HN1: 1.5 inches deep at 15-30 degrees above scalp surface; GV26: 5-10 mm towards the nose; LI11 and ST36: 20-30 mm obliquely downward toward the hand and foot,,needle sheath was twirled and rotated to induce Deqi,"sterile, single-use silver needle",40mm in length and 0.30mm in diameter,False,not_applicable,not_applicable,20 mins each time,20.0,20 mins each time,20.0,three times per week for 4 weeks,12.0,4 weeks,"Yes; Deqi (a sensation of soreness, numbness, distention, or radiating that is regarded to signify effective needling) was intended",not_reported,"According to Traditional Chinese Medicine theory, the acupuncture therapy is effective for treating post-stroke limb numbness.",not_reported,not_reported,Prospective observational study with pre-post acupuncture intervention and healthy control comparison using resting-state fMRI
36744205,arm_hc,Healthy Controls,healthy_control,14,14.0,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction),,,[],,,,,,,,,,,,,,,,,,,,,,,not_reported,Prospective observational study with pre-post acupuncture intervention and healthy control comparison using resting-state fMRI
36890655,arm_VA,verum acupuncture (VA),verum_acupuncture,36,28.0,Knee osteoarthritis (KOA) with knee pain,manual_acupuncture,manual acupuncture,"['Yanglingquan (GB34)', 'Yinlingquan (SP9)', 'Dubi (ST35)', 'Neixiyan (EX-LE4)']",knee area; acupoints and non-acupoints used in this study were adjacent and located in the knee area,All acupoints and non-acupoints on both sides of the body were pierced,penetrating,between 0.5 cun and 1.5 cun,,The locations in the VA group were gently manipulated to induce a specific acupuncture sensation (deqi),"disposable stainless-steel needles (Hwato, China)",0.25 mm to 40 mm in length,False,not_applicable,not_applicable,30 min per session,30.0,30 min,30.0,Ten sessions,10.0,two successive weeks,yes; gently manipulated to induce a specific acupuncture sensation (deqi),not_reported,not_reported,Two trained and licensed acupuncturists conducted all acupuncture treatments,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_SA,sham acupuncture (SA),sham_acupuncture,36,32.0,Knee osteoarthritis (KOA) with knee pain,sham_needling,manual acupuncture at non-acupoints,[],knee area; acupoints and non-acupoints used in this study were adjacent and located in the knee area,All acupoints and non-acupoints on both sides of the body were pierced,penetrating (puncturing non-acupoints),between 0.5 cun and 1.5 cun,,The locations in the SA groups were gently manipulated to induce a specific acupuncture sensation (deqi),"disposable stainless-steel needles (Hwato, China)",0.25 mm to 40 mm in length,False,not_applicable,not_applicable,30 min per session,30.0,30 min,30.0,Ten sessions,10.0,two successive weeks,yes; gently manipulated to induce a specific acupuncture sensation (deqi),not_reported,not_reported,Two trained and licensed acupuncturists conducted all acupuncture treatments,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_SC,celecoxib (SC),medication,36,29.0,Knee osteoarthritis (KOA) with knee pain,non_acupuncture,oral pharmacological intervention,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable (continuous daily dosing),,2 weeks,not_applicable,not_reported,"selective COX-2 inhibitor; approval number J20030098; produced by Pfizer Pharmaceutical Co. Ltd. in Beijing, China",not_reported,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_PB,placebo (PB),placebo,36,30.0,Knee osteoarthritis (KOA) with knee pain,non_acupuncture,oral placebo intervention,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable (continuous daily dosing),,2 weeks,not_applicable,not_reported,same appearance as celecoxib capsules; double-blinded,not_reported,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_WL,waiting list (WL),waitlist,36,30.0,Knee osteoarthritis (KOA) with knee pain,non_acupuncture,no treatment,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable,,2 weeks,not_applicable,"informed that after 2 weeks, they would receive ten sessions of acupuncture or 2 weeks of celecoxib for free",waitlist control,not_applicable,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_HC,healthy controls (HCs),healthy_control,41,36.0,Knee osteoarthritis (KOA) with knee pain,,,[],,,,,,,,,,,,,,,,,,,,,,,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36890655,arm_AG,acupuncture group (AG) (verum + sham),verum_acupuncture,72,60.0,Knee osteoarthritis (KOA) with knee pain,,,[],,,,,,,,,,,,,,,,,,,,,,,Celecoxib and placebo groups were double-blinded to treatment; subjects of verum acupuncture and sham acupuncture were kept single-blinded,Randomized controlled trial with five patient groups and a healthy control group; clinical and fMRI datasets collected from two simultaneous trials
36922926,acu,Acu-group,verum_acupuncture,30,25.0,Cerebral small vessel disease cognitive impairment (CSVDCI),manual_acupuncture,manual acupuncture,"['Shenting (GV24)', 'Baihui (GV20)']","Shenting: on the head, 0.5 inch straight up from the middle of the front hairline. Baihui: located at the intersection of the median line at the top of the head and the line connecting the tips of the two ears.",not_reported,not_reported,not_reported,,"With the thumb and forefinger holding the needle handle, the doctor alternately twists the needle body clockwise and counterclockwise to make it rotate quickly (180–300 times/min), and continues twisting for 2–3 min. After this, twist once every 10 min (following Deqi), and keep the needle for 40 min.",not_reported,not_reported,False,not_applicable,not_applicable,40 min,40.0,approximately 40 min,40.0,"once a day, for five days a week over a total of 12 weeks",60.0,12 weeks,Yes; manipulation continued following Deqi,not_reported,"Various ancient and modern acupuncture publications showed the Shenting (GV24) and Baihui (GV20) are vital distal acupoints associated with the cure of dementia, dizziness, headache, among other brain diseases.","Yang Xiaoyan, an associate chief physician who practices acupuncture for more than 10 years","The researcher responsible for randomization was not allowed to participate in the recruitment screening, outcome assessment and statistical analysis. Cognitive assessors were blinded to group assignment (implied by separate personnel). Full participant/assessor blinding details not fully reported.",Randomized controlled trial using fMRI scans to assess the effect and mechanisms of acupuncture treatment on CSVDCI
36922926,con,Con-group,active_control,30,19.0,Cerebral small vessel disease cognitive impairment (CSVDCI),non_acupuncture,pharmacological and cognitive rehabilitation,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_reported,,not_reported,,12 weeks,not_applicable,not_reported,"Conventional treatment included donepezil tablets to improve cognition, aspirin to anti-platelet aggregation, atorvastatin calcium tablets to regulate lipid levels, in addition to blood pressure and blood glucose control according to the patient's underlying disease, and each patient participated in modern cognitive rehabilitation training.",not_reported,"The researcher responsible for randomization was not allowed to participate in the recruitment screening, outcome assessment and statistical analysis. Cognitive assessors were blinded to group assignment (implied by separate personnel). Full participant/assessor blinding details not fully reported.",Randomized controlled trial using fMRI scans to assess the effect and mechanisms of acupuncture treatment on CSVDCI
37206312,arm_ERR,even reinforcing-reducing manipulation with lifting-thrusting (ERR),verum_acupuncture,,31.0,Healthy volunteers,manual_acupuncture,manual acupuncture with lifting-thrusting manipulation,"['Quchi (LI11, left side)']","Quchi (LI11, left side)",left side,"yes, perpendicular insertion",15 mm,15.0,Lifted and thrusted with even force and speed with a frequency of 1~1.5 Hz and an amplitude of 3~5 mm,disposable sterile needles,0.25 × 40 mm,False,not_applicable,not_applicable,not_reported,,1 min 30 s (acupuncture manipulation duration),1.5,1 session per manipulation type,1.0,3 days total (each manipulation separated by 1 day washout),"needle was inserted, followed by lifting and thrusting to elicit the needling sensation","Participants were instructed to stay awake, keep their heads still, and pay attention to the needling sensation throughout the whole scan",The even reinforcing-reducing manipulation with lifting-thrusting (ERR) is usually used for clinical treatment and treating for complicated excessiveness and deficiency syndromes or balanced excessiveness and deficiency syndromes by lifting and thrusting with even force and amplitude,The same licensed acupuncturist with over 5 years of practical experience,not_reported,"Randomized crossover within-subject design; 35 healthy participants received ERR, LTRei, and LTRed in a randomized order, each separated by a 1 day washout"
37206312,arm_LTRei,lifting-thrusting reinforcing manipulation (LTRei),verum_acupuncture,,31.0,Healthy volunteers,manual_acupuncture,manual acupuncture with lifting-thrusting manipulation,"['Quchi (LI11, left side)']","Quchi (LI11, left side)",left side,"yes, perpendicular insertion",15 mm,15.0,"Conducted with heavy thrust and gentle lift, a lower frequency (<1 Hz), and an amplitude of 3~5 mm",disposable sterile needles,0.25 × 40 mm,False,not_applicable,not_applicable,not_reported,,1 min 30 s (acupuncture manipulation duration),1.5,1 session per manipulation type,1.0,3 days total (each manipulation separated by 1 day washout),"needle was inserted, followed by lifting and thrusting to elicit the needling sensation","Participants were instructed to stay awake, keep their heads still, and pay attention to the needling sensation throughout the whole scan",The lifting-thrusting reinforcing manipulation (LTRei) is used for strengthening the body's resistance and treating deficiency syndromes by thrusting heavily and lifting gently with a low frequency,The same licensed acupuncturist with over 5 years of practical experience,not_reported,"Randomized crossover within-subject design; 35 healthy participants received ERR, LTRei, and LTRed in a randomized order, each separated by a 1 day washout"
37206312,arm_LTRed,lifting-thrusting reducing manipulation (LTRed),verum_acupuncture,,31.0,Healthy volunteers,manual_acupuncture,manual acupuncture with lifting-thrusting manipulation,"['Quchi (LI11, left side)']","Quchi (LI11, left side)",left side,"yes, perpendicular insertion",15 mm,15.0,"Performed with heavy lift and gentle thrust, a higher frequency (>1.5 Hz), and an amplitude of 3~5 mm",disposable sterile needles,0.25 × 40 mm,False,not_applicable,not_applicable,not_reported,,1 min 30 s (acupuncture manipulation duration),1.5,1 session per manipulation type,1.0,3 days total (each manipulation separated by 1 day washout),"needle was inserted, followed by lifting and thrusting to elicit the needling sensation","Participants were instructed to stay awake, keep their heads still, and pay attention to the needling sensation throughout the whole scan",The lifting-thrusting reducing manipulation (LTRed) is adopted for eliminating the pathogenic factors and relieving excess syndrome by lifting heavily and thrusting gently with a high frequency,The same licensed acupuncturist with over 5 years of practical experience,not_reported,"Randomized crossover within-subject design; 35 healthy participants received ERR, LTRei, and LTRed in a randomized order, each separated by a 1 day washout"
37274194,arm_MCID,MCID group,other,28,26.0,Ischemic stroke with unilateral motor pathway injury (basal ganglia and/or corona radiata),manual_acupuncture,manual acupuncture,['Yanglingquan (GB 34)'],"Outside of the lower leg, in the middle of the concavity of the anterior and inferior parts of the fibula head",Affected side in patients,Vertically inserted,1–1.5 Cun (about 15–25 mm depending on the height and weight of a participant),,Mild reinforcing-reducing method at the frequency of 1 Hz for 1 min,Disposable sterile silver needles,φ0.40×40 mm,False,not_applicable,not_applicable,8 min post-stimulation phase with needle remaining inside the leg,8.0,9 min 10 s (total acupuncture state scan),,Single session (during MRI),1.0,Single MRI session on day of enrollment,not_reported,Keep eyes closed and stay awake without performing any cognitive tasks,not_reported,not_reported,not_reported,Prospective observational neuroimaging study with machine learning classification; patients grouped by MCID of FMA over 2 weeks; healthy controls included for comparison
37274194,arm_NMCID,N-MCID group,other,21,15.0,Ischemic stroke with unilateral motor pathway injury (basal ganglia and/or corona radiata),manual_acupuncture,manual acupuncture,['Yanglingquan (GB 34)'],"Outside of the lower leg, in the middle of the concavity of the anterior and inferior parts of the fibula head",Affected side in patients,Vertically inserted,1–1.5 Cun (about 15–25 mm depending on the height and weight of a participant),,Mild reinforcing-reducing method at the frequency of 1 Hz for 1 min,Disposable sterile silver needles,φ0.40×40 mm,False,not_applicable,not_applicable,8 min post-stimulation phase with needle remaining inside the leg,8.0,9 min 10 s (total acupuncture state scan),,Single session (during MRI),1.0,Single MRI session on day of enrollment,not_reported,Keep eyes closed and stay awake without performing any cognitive tasks,not_reported,not_reported,not_reported,Prospective observational neuroimaging study with machine learning classification; patients grouped by MCID of FMA over 2 weeks; healthy controls included for comparison
37274194,arm_HC,HC,healthy_control,26,26.0,Ischemic stroke with unilateral motor pathway injury (basal ganglia and/or corona radiata),manual_acupuncture,manual acupuncture,['Yanglingquan (GB 34)'],"Outside of the lower leg, in the middle of the concavity of the anterior and inferior parts of the fibula head",Left side in HC,Vertically inserted,1–1.5 Cun (about 15–25 mm depending on the height and weight of a participant),,Mild reinforcing-reducing method at the frequency of 1 Hz for 1 min,Disposable sterile silver needles,φ0.40×40 mm,False,not_applicable,not_applicable,8 min post-stimulation phase with needle remaining inside the leg,8.0,9 min 10 s (total acupuncture state scan),,Single session (during MRI),1.0,Single MRI session on day of enrollment,not_reported,Keep eyes closed and stay awake without performing any cognitive tasks,not_reported,not_reported,not_reported,Prospective observational neuroimaging study with machine learning classification; patients grouped by MCID of FMA over 2 weeks; healthy controls included for comparison
37305743,arm_SA,scalp acupuncture (SAs) group,verum_acupuncture,10,10.0,Left hemiplegia due to ischemic stroke (unilateral partial anterior circulation infarction),scalp_acupuncture,manual acupuncture,"['MS6 (anterior oblique line of vertex temporal, right side)']",right anterior oblique line of vertex temporal,right,inserted at angles of almost 15° with respect to the epicranial aponeurosis,to a certain depth into the scalp,,"needles were twisted at a frequency of 200 turns per min, causing a deqi sensation; twist the needles every 10 min for 30 min",stainless steel needles,0.25 × 40 mm,False,not_applicable,not_applicable,30 min,30.0,30 min,30.0,once a day for 5 consecutive days as a course of treatment; total 14 days,,14 days,"yes, causing a deqi sensation",not_reported,"According to the traditional Chinese medical theory, the head is where the IQ and the meridian merge. Scalp acupuncture can improve the excitability of the central nervous system, effectively improve cerebral hemodynamics and brain tissue metabolism, and then promote the recovery of motor function of patients.",not_reported,not_reported,Randomized controlled trial with matched healthy controls; resting-state fMRI; two-arm patient comparison plus healthy control group
37305743,arm_PC,patient control (PCs) group,usual_care,11,11.0,Left hemiplegia due to ischemic stroke (unilateral partial anterior circulation infarction),non_acupuncture,not_reported,[],not_applicable,not_applicable,not_applicable,not_applicable,,not_applicable,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,not_reported,,not_reported,,14 days,not_applicable,not_reported,"blood pressure-lowering treatment, lipid-lowering and stabilizing agents, and anti-platelet",not_reported,not_reported,Randomized controlled trial with matched healthy controls; resting-state fMRI; two-arm patient comparison plus healthy control group
37305743,arm_HC,healthy controls (HCs),healthy_control,20,20.0,Left hemiplegia due to ischemic stroke (unilateral partial anterior circulation infarction),,,[],,,,,,,,,,,,,,,,,,,,,,,not_reported,Randomized controlled trial with matched healthy controls; resting-state fMRI; two-arm patient comparison plus healthy control group
