pmid,contrast_id,contrast_label,contrast_type,analysis_method,analysis_family,n_coordinates,n_connectivity_edges,disease_condition
34122321,contrast_corr_angulargyrus_change_days,Positive correlation: change in ReHo value in the angular gyrus with the change in number of days with migraine,correlation analysis (Pearson/Spearman) between ReHo change in angular gyrus and change in clinical outcome,Pearson/Spearman correlation,,0,1,migraine without aura (MwoA)
34122321,contrast_corr_cerebellum_clinical,No significant correlation between ReHo value for the cerebellum and any clinical outcome,correlation analysis (Pearson/Spearman) between ReHo in cerebellum and clinical outcomes,Pearson/Spearman correlation,,0,0,migraine without aura (MwoA)
34431029,nc_rsFC_correlation_clinical,Correlation between rsFC changes and depression severity (HAMD-17/PHQ-9),correlation between neural and clinical outcomes,not_reported,,0,0,Depression (DSM-V criteria)
34483822,contrast_correlation_pfc_deqi,Correlation between PFC HbO power change and acupuncture deqi behavioral index,Pearson's correlation between neural and behavioral measure,Pearson's correlation and linear regression between deqi behavior data and HbO power change (acupuncture manipulation – all controls) for acupuncture significant responsive channels from PFC,,0,1,Healthy volunteers
34483822,contrast_correlation_motor_deqi,Correlation between motor cortex HbO power change and acupuncture deqi behavioral index,Pearson's correlation between neural and behavioral measure,Pearson's correlation and linear regression between deqi behavior data and HbO power change (acupuncture manipulation – all controls) for acupuncture significant responsive channels from motor cortex,,0,1,Healthy volunteers
34671239,C1_baseline_ALFF_SDS_corr,Correlation between ALFF value in right precuneus and SDS in MMoA patients at baseline,Positive correlation between ALFF and SDS scores,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",,1,0,Menstrual migraine without aura (MMoA)
34671239,C2_baseline_ALFF_VAS_corr,Correlation between ALFF value in right middle temporal gyrus and VAS in MMoA patients at baseline,Negative correlation between ALFF and VAS scores,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",,1,0,Menstrual migraine without aura (MMoA)
34671239,C9_TA_ACC_ALFF_SAS_corr,Correlation between altered ALFF values in left ACC and improvements in SAS scores in the TA group,Positive correlation between post-pre ALFF change in left ACC and decrease in SAS scores,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",,1,0,Menstrual migraine without aura (MMoA)
34671239,C10_TA_ACC_ALFF_SDS_corr,Correlation between altered ALFF values in left ACC and improvements in SDS scores in the TA group,Positive correlation between post-pre ALFF change in left ACC and decrease in SDS scores,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",,1,0,Menstrual migraine without aura (MMoA)
34671239,C11_SA_no_brain_clinical_corr,No significant correlations observed between brain regions and clinical variables in the SA group,Null result: correlation between ALFF/ReHo changes and clinical variables in SA group,"Pearson correlation analysis (voxel-wise); covariates: age, height, weight",,0,0,Menstrual migraine without aura (MMoA)
34720908,nc_08,Correlation: alteration of DMN-VAN vs changes in HAMA,Pearson correlation analysis,Pearson correlation analysis,,0,1,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,nc_09,Correlation: alteration of DMN-VAN vs changes in life influence degree,Pearson correlation analysis,Pearson correlation analysis,,0,1,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,nc_10,Correlation: alteration of DMN-VAN vs changes in IBS-SSS,Pearson correlation analysis,Pearson correlation analysis,,0,1,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34949986,con_corr_slow5_cerebellum_VAS,Correlation: slow-5 zALFF in cerebellum vs VAS score after AAS,Pearson correlation between zALFF and clinical outcome,Pearson correlation coefficient,,1,0,Chronic low back pain (CLBP)
34949986,con_corr_slow3_cerebellum_VAS,Correlation: slow-3 zALFF in cerebellum vs VAS score after AAS,Pearson correlation between zALFF and clinical outcome,Pearson correlation coefficient,,1,0,Chronic low back pain (CLBP)
34949986,con_corr_norm2_insula_VAS,Correlation: norm-2 zALFF in right insula vs change in VAS score after AAS,Pearson correlation between zALFF and clinical outcome,Pearson correlation coefficient,,1,0,Chronic low back pain (CLBP)
34949986,con_corr_slow4_insula_VAS,Correlation: slow-4 zALFF in right insula vs change in VAS score after AAS,Pearson correlation between zALFF and clinical outcome,Pearson correlation coefficient,,1,0,Chronic low back pain (CLBP)
35048524,con7_correlation_pag_pins_pcs,correlation between percent change of PAG-pIns functional connectivity strength and percent change of trait pain catastrophizing (PCS) after acupuncture treatment,correlation analysis,Spearman correlation analysis with age controlled as covariate,,0,1,Chronic neck and shoulder pain (CNSP)
35115998,con_corr_DRPN_putamen_post_VAS,Correlation between FC of right putamen (dorsal RPN seed) and pain intensity at post-acupuncture in KOA,correlation analysis,partial correlation controlling for age and sex,,0,1,Knee osteoarthritis (KOA) with chronic pain
35115998,con_corr_DRPN_putamen_pre_VAS,Correlation between FC of right putamen (dorsal RPN seed) and pain intensity at pre-acupuncture in KOA,correlation analysis,partial correlation controlling for age and sex,,0,1,Knee osteoarthritis (KOA) with chronic pain
35115998,con_corr_MRPN_cerebellum_post_VAS,Correlation between FC of right cerebellum (medial RPN seed) and pain intensity at post-acupuncture in KOA,correlation analysis,partial correlation controlling for age and sex,,0,1,Knee osteoarthritis (KOA) with chronic pain
35115998,con_corr_MRPN_cerebellum_pre_VAS,Correlation between FC of right cerebellum (medial RPN seed) and pain intensity at pre-acupuncture in KOA,correlation analysis,partial correlation controlling for age and sex,,0,1,Knee osteoarthritis (KOA) with chronic pain
35153654,nc_corr_alfffc_hearingR,Correlation of ALFF-FC (SMA.L-SFGmed.L) with hearing level of right ear in tinnitus patients before acupuncture,correlation analysis,Pearson's correlation coefficient,,0,1,chronic tinnitus
35153654,nc_corr_dfcstr_tdi,Correlation of decreased DFC-Str (left PCC - right ANG) with decreased TDI scores in chronic tinnitus patients before and after acupuncture,correlation analysis,Spearman's correlation coefficient,,0,1,chronic tinnitus
35153654,nc_corr_tp_s2s3_thi,Correlation of TP from state 2 to state 3 with THI in chronic tinnitus patients before acupuncture,correlation analysis,Pearson's correlation coefficient,,0,1,chronic tinnitus
35153654,nc_corr_tp_s2s3_vas,Correlation of TP from state 2 to state 3 with VAS in chronic tinnitus patients before acupuncture,correlation analysis,Pearson's correlation coefficient,,0,1,chronic tinnitus
35153654,nc_corr_tp_s2s3_khq,Correlation of TP from state 2 to state 3 with KHQ in chronic tinnitus patients before acupuncture,correlation analysis,Pearson's correlation coefficient,,0,1,chronic tinnitus
35153654,nc_corr_tp_s3s1_tdi,Correlation of TP from state 3 to state 1 with TDI scores combining chronic tinnitus patients before and after acupuncture,correlation analysis,Spearman's correlation coefficient,,0,1,chronic tinnitus
35310583,NR_01,"Pearson correlation coefficient brain network in the beta band - all three groups before, during, and after electroacupuncture",within-group change across timepoints (pre vs during vs post electroacupuncture),Pearson correlation coefficient functional connectivity brain network,,0,3,Stroke with flaccid paralysis (upper limb hemiplegia)
35312785,nc_HC_first_vs_second,No significant change in pain-related FC in healthy controls from before to after the 3-month interval,Within-group: healthy controls first vs second MRI,ROI-to-ROI functional connectivity analysis using CONN v17b toolbox,,0,0,"Migraine (migraine without aura [MWoA], migraine with aura [MWA], chronic migraine [CM])"
35464313,contrast_mpfc_ndsi_correlation,Correlation between cerebral activity changes and NDSI symptom improvement in all FD patients,correlation between zfALFF change and NDSI improvement,correlation analysis (Pearson or Spearman),,0,1,functional dyspepsia (FD)
35557556,nc_fALFF_corr_baseline_pain,Correlation between baseline fALFF of left calcarine and baseline McGill pain score in CSAP patients,partial correlation,partial correlation,,0,1,Chronic stable angina pectoris (CSAP)
35557556,nc_fALFF_corr_change_mcgill,Correlation between fALFF change of left calcarine and improvement of McGill pain score in CSAP patients,partial correlation,partial correlation,,0,1,Chronic stable angina pectoris (CSAP)
35557556,nc_fALFF_corr_change_SAS,Correlation between fALFF change of left calcarine and improvement of SAS score in CSAP patients,partial correlation,partial correlation,,0,1,Chronic stable angina pectoris (CSAP)
35557556,nc_fALFF_corr_change_SDS,Correlation between fALFF change of left calcarine and improvement of SDS score in CSAP patients,partial correlation,partial correlation,,0,1,Chronic stable angina pectoris (CSAP)
35557556,nc_rsFC_corr_ITG_mcgill_groupA,Correlation between rsFC change (ROI - left ITG/cerebellum crus 1) and McGill pain score improvement in Group A,Spearman correlation,Spearman correlation,,0,1,Chronic stable angina pectoris (CSAP)
35557556,nc_rsFC_corr_ITG_SDS_groupA,Correlation between rsFC change (ROI - left ITG/cerebellum crus 1) and SDS score improvement in Group A,Spearman correlation,Spearman correlation,,0,1,Chronic stable angina pectoris (CSAP)
35585920,nc_002,Correlation between ALFF change in left postcentral gyrus and improvement of SID scores (all FD patients),correlation between ALFF change and clinical improvement,Pearson's correlation analysis with age and gender as covariates,,0,1,functional dyspepsia (FD)
35734477,c02,Resting-state ISFC in control group (significant negative correlations),ISFC within control group during resting state,ISFC using leave-one-out approach with bootstrap hypothesis test,,0,6,Ischemic stroke with motor dysfunction (hemiplegia)
35734477,c18,Acupuncture task ISC/ISFC in subgroup Nih1 (NIHSS 0-1),ISC and ISFC within patient subgroup Nih1 during acupuncture task,ISC and ISFC using leave-one-out approach with bootstrap hypothesis test,,0,2,Ischemic stroke with motor dysfunction (hemiplegia)
35734477,c19,Acupuncture task ISC/ISFC in subgroup Nih2 (NIHSS 2-4),ISC and ISFC within patient subgroup Nih2 during acupuncture task,ISC and ISFC using leave-one-out approach with bootstrap hypothesis test,,0,6,Ischemic stroke with motor dysfunction (hemiplegia)
35734477,c20,Acupuncture task ISFC in subgroup Nih3 (NIHSS 5-15),ISFC within patient subgroup Nih3 during acupuncture task,ISC and ISFC using leave-one-out approach with bootstrap hypothesis test,,0,2,Ischemic stroke with motor dysfunction (hemiplegia)
35965072,contrast_SVC_model,SVC prediction of acupuncture responders vs non-responders,classification model performance,"support vector classification (SVC) with linear kernel, default regularization parameter (c=1), 10-fold cross-validation iterated 100 times, feature selection via Spearman correlation filtering at α = 0.15",,0,0,Functional dyspepsia (FD)
35965072,contrast_SVR_model,SVR prediction of SID improvements,regression model performance,"support vector regression (SVR) with linear kernel, default parameters, 10-fold cross-validation iterated 100 times, based on 38 identified predictive features",,0,0,Functional dyspepsia (FD)
35965072,contrast_predictive_features_weights,Predictive features identification and weight calculation,predictive feature identification via SVC consensus features,consensus features retained as support vectors in all 10-fold CV across all 100 iterations; weight = absolute value of mean over 100 iterations; relative IC weight = sum of one-half of predictive feature weights associated with that IC,,0,3,Functional dyspepsia (FD)
35965072,contrast_IC_relative_weights,Relative weight of ICs in predictive features,IC-level relative weight in predictive model,relative weight of each IC = sum of one-half of predictive feature weights associated with that IC,,0,5,Functional dyspepsia (FD)
35965072,contrast_baseline_rsFC_SID_corr,Correlation between baseline rsFC of predictive features and SID improvements,correlation between pre-treatment rsFC and clinical outcomes,Spearman correlation analysis between rsFC of predictive features and SID improvements in all patients,,0,3,Functional dyspepsia (FD)
35965072,contrast_edge_change_SID_corr,Correlation between rsFC changes of 11 between-group edges and SID improvements,correlation between post-pre rsFC change and clinical outcome,correlation analyses between ROI changes and symptom improvements in all patients; P < 0.05 uncorrected (not significant after FDR correction),,0,4,Functional dyspepsia (FD)
35968386,con_ReHo_corr_HIP_time,Correlation between recognition index (time) and ReHo value of hippocampus,Pearson correlation between neuroimaging metric and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
35968386,con_ReHo_corr_HIP_number,Correlation between recognition index (number) and ReHo value of hippocampus,Pearson correlation between neuroimaging metric and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
35968386,con_ReHo_corr_EC_time,Correlation between recognition index (time) and ReHo value of entorhinal cortex,Pearson correlation between neuroimaging metric and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
35968386,con_ReHo_corr_EC_number,Correlation between recognition index (number) and ReHo value of entorhinal cortex,Pearson correlation between neuroimaging metric and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
35968386,con_FC_corr_NORT_time,Correlation between recognition index of time and function connectivity (hippocampus–entorhinal cortex),Pearson correlation between FC strength and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
35968386,con_DTI_corr_NORT_time,Correlation between recognition index of time and number of nerve fiber connections (hippocampus–entorhinal cortex),Pearson correlation between DTI fiber count and behavioral outcome,Pearson linear regression analysis,,0,1,Alzheimer's disease (3×Tg-AD transgenic mouse model)
36051643,C19_CORR_DLPFC_VAS,Correlation: gFCD changes at Slow-5 band of the left DLPFC vs. change in VAS scores (VA group),Pearson linear correlation,Pearson linear correlation,,0,1,Primary dysmenorrhea (PDM)
36051643,C20_CORR_S2_VAS,Correlation: gFCD changes at Slow-4 band of the right S2 vs. change in VAS scores (VA group),Pearson linear correlation,Pearson linear correlation,,0,1,Primary dysmenorrhea (PDM)
36102803,nc_exp_pre_activation,Cortical activation map - Experimental Group Before Treatment,within-group activation during experimental pain stimulation before analgesic modulation,generalized linear model (GLM); t-test; correction of expected EC based on LKC,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_exp_post_activation,Cortical activation map - Experimental Group After Treatment,within-group activation during experimental pain stimulation after analgesic modulation,generalized linear model (GLM); t-test; correction of expected EC based on LKC,,2,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_ctrl_pre_activation,Cortical activation map - Control Group Before Treatment,within-group activation during experimental pain stimulation before rest,generalized linear model (GLM); t-test; correction of expected EC based on LKC,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_ctrl_post_activation,Cortical activation map - Control Group After Treatment,within-group activation during experimental pain stimulation after rest,generalized linear model (GLM); t-test; correction of expected EC based on LKC,,1,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_exp_fpa_beta_comparison,FPA regression coefficient (beta) - Experimental Group: Before vs After Treatment,within-group comparison of ROI activation before vs after analgesic modulation,mixed effect linear models; Shapiro-Wilk test for normality,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_exp_dlpfc_beta_comparison,DLPFC regression coefficient (beta) - Experimental Group: Before vs After Treatment,within-group comparison of ROI activation before vs after analgesic modulation,mixed effect linear models; Shapiro-Wilk test for normality,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_ctrl_roi_beta_comparison,ROI regression coefficients - Control Group: Before vs After Rest,within-group comparison of ROI activation before vs after rest,mixed effect linear models; Shapiro-Wilk test for normality,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_channel_corr_exp_pre,Channel correlation matrix - Experimental Group Before Treatment,channel-to-channel Pearson correlation during pain stimulation before treatment,Pearson correlation coefficient of each channel time series; 24x24 symmetric correlation matrix,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_channel_corr_exp_post,Channel correlation matrix - Experimental Group After Treatment,channel-to-channel Pearson correlation during pain stimulation after analgesic modulation,Pearson correlation coefficient of each channel time series; 24x24 symmetric correlation matrix,,0,0,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_roi_corr_exp_pre,ROI correlation heat map - Experimental Group Before Treatment,ROI-to-ROI Pearson correlation before treatment,Pearson correlation between ROIs,,0,6,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_roi_corr_exp_post,ROI correlation heat map - Experimental Group After Treatment,ROI-to-ROI Pearson correlation after analgesic modulation,Pearson correlation between ROIs,,0,6,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_roi_corr_ctrl_pre,ROI correlation heat map - Control Group Before Rest,ROI-to-ROI Pearson correlation before rest,Pearson correlation between ROIs,,0,6,myofascial pain syndrome (MPS) / myofasciitis
36102803,nc_roi_corr_ctrl_post,ROI correlation heat map - Control Group After Rest,ROI-to-ROI Pearson correlation after rest,Pearson correlation between ROIs,,0,6,myofascial pain syndrome (MPS) / myofasciitis
36530615,con_dynICA_corr_circuit1_freq_verbalorder,Correlation between frequency of circuit1 and verbal order score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530615,con_dynICA_corr_circuit3_nountranscribing,Correlation between FC values of triangle inferior frontal and lingual gyri (circuit3) and noun transcribing score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530615,con_dynICA_corr_circuit3_verbtranscribing,Correlation between FC values of triangle inferior frontal and lingual gyri (circuit3) and verb transcribing score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530615,con_dynICA_corr_circuit3_commanddescribing,Correlation between FC values of triangle inferior frontal and lingual gyri (circuit3) and command describing score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530615,con_dynICA_corr_circuit3_actiondescribing,Correlation between FC values of triangle inferior frontal and lingual gyri (circuit3) and action description score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530615,con_dynICA_corr_circuit3_dictatingnoun,Correlation between FC values of triangle inferior frontal and lingual gyri (circuit3) and dictating noun score (CRRCAE),correlation (rank correlational analysis),rank correlational analysis,,0,1,Post-stroke aphasia (PSA) caused by left hemisphere stroke
36530635,contrast_4_regression_TEQ_pre,Linear regression: TEQ vs. FC at pre-acupuncture,"simple linear regression: TEQ score as independent variable, FC as dependent variable, pre-acupuncture",simple linear regression,,0,0,subjective tinnitus
36530635,contrast_5_regression_VAS_pre,Linear regression: VAS vs. FC at pre-acupuncture,"simple linear regression: VAS score as independent variable, FC as dependent variable, pre-acupuncture",simple linear regression,,0,0,subjective tinnitus
36530635,contrast_6_regression_THI_pre,Linear regression: THI vs. FC at pre-acupuncture,"simple linear regression: THI score as independent variable, FC as dependent variable, pre-acupuncture",simple linear regression,,0,0,subjective tinnitus
36530635,contrast_7_regression_TEQ_post,Linear regression: TEQ vs. FC at post-acupuncture,"simple linear regression: TEQ score as independent variable, FC as dependent variable, post-acupuncture",simple linear regression,,0,0,subjective tinnitus
36530635,contrast_8_regression_VAS_post,Linear regression: VAS vs. FC at post-acupuncture,"simple linear regression: VAS score as independent variable, FC as dependent variable, post-acupuncture",simple linear regression,,0,0,subjective tinnitus
36744205,contrast_corr_alff_vas,Pearson correlations of fMRI data (ALFF t-values) and VAS score in patients with numbness,Pearson correlation between ALFF t-values and VAS score,Pearson correlation with age and gender as covariates of no interest,,0,4,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction)
36744205,contrast_corr_fc_vas,Pearson correlations of fMRI data (FC z-values) and VAS score in patients with numbness,Pearson correlation between FC z-values and VAS score,Pearson correlation with age and gender as covariates of no interest,,0,2,Ischemic stroke sequelae with unilateral limb numbness (somatosensory dysfunction)
36890655,nc_KOA_vs_HC,KOA knee pain patients vs. healthy controls (vlPAG rs-FC at baseline),two-sample t-test; KOA > HCs,two-sample t-test; seed-based resting-state functional connectivity,,2,0,Knee osteoarthritis (KOA) with knee pain
36890655,nc_KOA_vs_HC_corr,Spearman correlation: bilateral thalamus rs-FC levels and SF-MPQ in KOA patients,Spearman correlation analysis,Spearman correlation analysis,,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_SC_corr_DLPFC,Spearman correlation: vlPAG-DLPFC rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs SC context),Spearman correlation analysis,Spearman correlation analysis on percentage variations (post-treatment minus pre-treatment/pre-treatment),,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_SC_corr_angular,Spearman correlation: vlPAG-angular rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs SC context),Spearman correlation analysis,Spearman correlation analysis on percentage variations (post-treatment minus pre-treatment/pre-treatment),,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_PB_corr_DLPFC,Spearman correlation: vlPAG-DLPFC rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs PB context),Spearman correlation analysis,Spearman correlation analysis on percentage variations,,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_PB_corr_angular,Spearman correlation: vlPAG-angular rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs PB context),Spearman correlation analysis,Spearman correlation analysis on percentage variations,,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_WL_corr_DLPFC,Spearman correlation: vlPAG-DLPFC rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs WL context),Spearman correlation analysis,Spearman correlation analysis on percentage variations,,0,1,Knee osteoarthritis (KOA) with knee pain
36890655,nc_AG_vs_WL_corr_precuneus,Spearman correlation: vlPAG-precuneus rs-FC percentage change and SF-MPQ percentage change in acupuncture group (AG vs WL context),Spearman correlation analysis,Spearman correlation analysis on percentage variations,,0,1,Knee osteoarthritis (KOA) with knee pain
36922926,nc_05_alff_moca_corr_temporal_inf_r,Correlation: ALFF change in right inferior temporal gyrus vs MoCA change (acupuncture group),Pearson correlation between ALFF change and MoCA change,Pearson's correlation analysis,,0,1,Cerebral small vessel disease cognitive impairment (CSVDCI)
36922926,nc_06_alff_moca_corr_occipital_mid_l,Correlation: ALFF change in left middle occipital gyrus vs MoCA change (acupuncture group),Pearson correlation between ALFF change and MoCA change,Pearson's correlation analysis,,0,1,Cerebral small vessel disease cognitive impairment (CSVDCI)
36922926,nc_07_alff_moca_corr_occipital_sup_l,Correlation: ALFF change in left superior occipital gyrus vs MoCA change (acupuncture group),Pearson correlation between ALFF change and MoCA change,Pearson's correlation analysis,,0,1,Cerebral small vessel disease cognitive impairment (CSVDCI)
36922926,nc_08_alff_moca_corr_parietal_sup_r,Correlation: ALFF change in right superior parietal gyrus vs MoCA change (acupuncture group),Pearson correlation between ALFF change and MoCA change,Pearson's correlation analysis,,0,1,Cerebral small vessel disease cognitive impairment (CSVDCI)
37025199,NR_014,"Pure electroacupuncture stimulation - negative activation contralateral raphe magnus, inferior frontal gyrus, and amygdala",electroacupuncture effect vs. heat pain,task-state fMRI,,0,0,"Depression; also covers anxiety, irritable bowel syndrome, stroke, Parkinson's disease, heroin addiction, spastic cerebral palsy, carpal tunnel syndrome, post-traumatic stress disorder, functional dyspepsia, aphasia, epilepsy, Wilson's disease, and primary insomnia as referenced conditions"
37025199,NR_015,Skin electrical stimulation at Zusanli and Sanyi - positive activation in cold pain condition,acupoint stimulation effect during cold pain,task-state fMRI,,0,0,"Depression; also covers anxiety, irritable bowel syndrome, stroke, Parkinson's disease, heroin addiction, spastic cerebral palsy, carpal tunnel syndrome, post-traumatic stress disorder, functional dyspepsia, aphasia, epilepsy, Wilson's disease, and primary insomnia as referenced conditions"
37025199,NR_016,Skin electrical stimulation at Zusanli and Sanyi - negative activation in cold pain condition,acupoint stimulation effect during cold pain,task-state fMRI,,0,0,"Depression; also covers anxiety, irritable bowel syndrome, stroke, Parkinson's disease, heroin addiction, spastic cerebral palsy, carpal tunnel syndrome, post-traumatic stress disorder, functional dyspepsia, aphasia, epilepsy, Wilson's disease, and primary insomnia as referenced conditions"
37025199,NR_041,Anxiety disorders - higher ALFF in left hippocampus in subjects with symptom remission; higher ReHo in right posterior central gyrus in subjects without symptom remission (Shen et al.),resting-state fMRI in anxiety disorder - remission vs. non-remission,resting-state fMRI,,0,0,"Depression; also covers anxiety, irritable bowel syndrome, stroke, Parkinson's disease, heroin addiction, spastic cerebral palsy, carpal tunnel syndrome, post-traumatic stress disorder, functional dyspepsia, aphasia, epilepsy, Wilson's disease, and primary insomnia as referenced conditions"
37025199,NR_046,Amygdala connectivity mediates relationship between anxiety and depression in MDD patients (He et al.),"correlation/mediation analysis - anxiety, depression, and amygdala connectivity",resting-state fMRI,,0,0,"Depression; also covers anxiety, irritable bowel syndrome, stroke, Parkinson's disease, heroin addiction, spastic cerebral palsy, carpal tunnel syndrome, post-traumatic stress disorder, functional dyspepsia, aphasia, epilepsy, Wilson's disease, and primary insomnia as referenced conditions"
37383656,C008,Correlation: mean dwell time in state 3 and FMA-LE score (baseline),correlation analysis at baseline,Pearson's correlation,,0,1,ischemic stroke with motor dysfunction
37383656,C009,Correlation: mean dwell time in state 1 and NIHSS score (baseline) - trend,correlation analysis at baseline,Pearson's correlation,,0,1,ischemic stroke with motor dysfunction
37383656,C010,Correlation: FC in RFPN-SMN in state 3 and FMA score (baseline),correlation analysis at baseline,Pearson's correlation,,0,1,ischemic stroke with motor dysfunction
37383656,C011,Correlation: FC in DAN-DMN in state 1 and FMA-LE score (baseline),correlation analysis at baseline,Pearson's correlation,,0,1,ischemic stroke with motor dysfunction
37383656,C012,Correlation: FC in DAN-RFPN in state 1 and FMA-LE score (baseline),correlation analysis at baseline,Pearson's correlation,,0,1,ischemic stroke with motor dysfunction
37408438,C5_DR_MFG_L_NDI_corr,Correlation: FC change DR–left middle frontal gyrus with NDI improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37408438,C6_DR_THA_R_duration_corr,Correlation: FC change DR–right thalamus with duration of each attack improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37408438,C7_MR_MFG_R_NPQ_corr,Correlation: FC change MR–right middle frontal gyrus with NPQ improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37408438,C8_MR_MFG_R_SDS_corr,Correlation: FC change MR–right middle frontal gyrus with SDS improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37408438,C9_MR_PHG_L_NDI_corr,Correlation: FC change MR–left parahippocampal gyrus with NDI improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37408438,C10_MR_PHG_L_SDS_corr,Correlation: FC change MR–left parahippocampal gyrus with SDS improvement (TA group),Correlation between FC change and clinical outcome change,Correlation analysis,,0,1,Chronic neck pain (CNP)
37415858,con_REAL_IC22_SA1,IC22 (SA1) significant positive correlation with REAL stimulation protocol,one-sample t-test of GLM parameter estimate for REAL stimulation regressor,IC-wise GLM with temporal concatenated ICA (FSL_MELODIC); one-sample t-test of PE for REAL protocol,,4,0,Healthy volunteers
37415858,con_REAL_IC23_SA2,IC23 (SA2) significant positive correlation with REAL stimulation protocol,one-sample t-test of GLM parameter estimate for REAL stimulation regressor,IC-wise GLM with temporal concatenated ICA (FSL_MELODIC); one-sample t-test of PE for REAL protocol,,3,0,Healthy volunteers
37415858,con_REAL_PHNT_IC9_CA1,IC9 (CA1) significant positive correlation with both REAL and PHNT stimulation protocols,one-sample Wilcoxon signed-rank test of GLM parameter estimate for REAL and PHNT stimulation regressors,IC-wise GLM with temporal concatenated ICA (FSL_MELODIC); one-sample Wilcoxon signed-rank test of PE for REAL and PHNT protocols,,15,0,Healthy volunteers
37415858,con_REAL_PHNT_IC29_CA2,IC29 (CA2) significant positive correlation with both REAL and PHNT stimulation protocols,one-sample t-test of GLM parameter estimate for REAL and PHNT stimulation regressors,IC-wise GLM with temporal concatenated ICA (FSL_MELODIC); one-sample t-test of PE for REAL and PHNT protocols,,10,0,Healthy volunteers
37415858,con_partial_corr_SA_CA_REAL,Partial correlation network for SA/CA components and expectation for acupuncture treatment (REAL),Spearman's partial correlation analysis between IC parameter estimates and expectation scores,"Spearman's partial correlation coefficients computed between pairs of variables, controlling for the effect of the remaining variables",,0,9,Healthy volunteers
37415858,con_corr_SA2_MASS_REAL,Correlation between averaged PEs of SA2 and MASS index score for REAL,Pearson's or Spearman's correlation (not specified for this result),Pearson's or Spearman's correlation analysis,,0,1,Healthy volunteers
